age,workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,class,predicted
<=28,Private,High School grad,Never-Married,Blue-Collar,Not-in-family,White,Male,0,0,(40-45],<=50K,<=50K
>47,Private,Masters,Married,White-Collar,Husband,White,Male,0,High,>45,>50K,>50K
>47,Private,Dropout,Separated,Blue-Collar,Unmarried,White,Female,0,0,<=40,<=50K,<=50K
(28-37],Private,High School grad,Never-Married,Admin,Own-child,White,Female,0,0,<=40,<=50K,<=50K
>47,Self-emp-not-inc,High School grad,Widowed,Service,Not-in-family,White,Male,0,0,<=40,<=50K,<=50K
<=28,Private,High School grad,Never-Married,Blue-Collar,Not-in-family,White,Male,0,0,>45,<=50K,<=50K
(37-47],Private,Bachelors,Never-Married,Admin,Not-in-family,White,Male,0,0,<=40,<=50K,<=50K
<=28,Private,High School grad,Never-Married,Service,Own-child,Black,Male,0,0,<=40,<=50K,<=50K
>47,Private,Prof-School,Married,Professional,Husband,White,Male,0,0,<=40,>50K,<=50K
>47,Private,High School grad,Married,Blue-Collar,Husband,Black,Male,0,0,<=40,<=50K,<=50K
<=28,Private,Dropout,Never-Married,Sales,Own-child,White,Male,0,0,<=40,<=50K,<=50K
(28-37],Federal-gov,Bachelors,Married,Professional,Husband,White,Male,0,0,<=40,<=50K,<=50K
>47,Private,High School grad,Never-Married,Service,Not-in-family,White,Male,0,0,<=40,<=50K,<=50K
>47,Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<=40,<=50K,<=50K
(28-37],Private,High School grad,Separated,Blue-Collar,Not-in-family,White,Male,0,0,<=40,<=50K,<=50K
<=28,Federal-gov,High School grad,Never-Married,Blue-Collar,Unmarried,Amer-Indian-Eskimo,Male,0,0,<=40,<=50K,<=50K
(28-37],Private,Bachelors,Never-Married,Admin,Not-in-family,White,Female,0,0,<=40,<=50K,<=50K
(28-37],Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<=40,<=50K,<=50K
(28-37],Private,High School grad,Married,Sales,Wife,White,Female,0,0,<=40,<=50K,<=50K
(28-37],Private,High School grad,Never-Married,Admin,Unmarried,White,Female,0,0,<=40,<=50K,<=50K
(37-47],Private,Prof-School,Married,Professional,Husband,White,Male,High,0,>45,>50K,>50K
<=28,Private,High School grad,Never-Married,Sales,Own-child,White,Male,0,0,<=40,<=50K,<=50K
(37-47],Private,Prof-School,Never-Married,Professional,Not-in-family,White,Female,High,0,>45,>50K,>50K
>47,Private,High School grad,Widowed,Admin,Not-in-family,Black,Female,0,0,<=40,<=50K,<=50K
(28-37],State-gov,High School grad,Never-Married,Other,Not-in-family,White,Male,0,0,<=40,<=50K,<=50K
(28-37],Private,High School grad,Never-Married,Admin,Other-relative,White,Male,0,0,<=40,<=50K,<=50K
(28-37],Private,Dropout,Separated,Service,Not-in-family,White,Female,0,0,<=40,<=50K,<=50K
(37-47],Private,High School grad,Married,Other,Husband,White,Male,0,0,<=40,<=50K,<=50K
(28-37],Private,High School grad,Never-Married,Service,Own-child,White,Male,0,0,<=40,<=50K,<=50K
(37-47],Private,Associates,Married,Professional,Husband,White,Male,0,0,<=40,>50K,<=50K
>47,Self-emp-not-inc,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<=40,<=50K,<=50K
<=28,Private,Bachelors,Never-Married,Professional,Own-child,White,Male,0,0,<=40,<=50K,<=50K
(37-47],Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<=40,<=50K,<=50K
(28-37],Private,High School grad,Never-Married,Blue-Collar,Not-in-family,White,Male,0,0,>45,<=50K,<=50K
(28-37],Private,High School grad,Separated,Service,Own-child,White,Male,Low,0,<=40,<=50K,<=50K
(28-37],Private,High School grad,Married,Blue-Collar,Husband,Black,Male,0,0,<=40,<=50K,<=50K
<=28,Private,High School grad,Never-Married,Sales,Own-child,White,Male,0,0,(40-45],<=50K,<=50K
<=28,Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<=40,<=50K,<=50K
<=28,Local-gov,High School grad,Never-Married,Admin,Own-child,Black,Female,0,0,<=40,<=50K,<=50K
(37-47],Private,High School grad,Married,Blue-Collar,Wife,Black,Female,0,0,(40-45],>50K,<=50K
(28-37],Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,>45,<=50K,<=50K
(28-37],Private,Bachelors,Never-Married,Blue-Collar,Own-child,White,Male,0,0,<=40,<=50K,<=50K
>47,Private,Dropout,Married,Blue-Collar,Husband,White,Male,0,0,(40-45],<=50K,>50K
(37-47],Local-gov,Bachelors,Married,White-Collar,Husband,White,Male,0,0,<=40,>50K,>50K
<=28,Private,Bachelors,Married,White-Collar,Husband,White,Male,0,0,>45,>50K,<=50K
>47,Self-emp-not-inc,Associates,Married,Service,Husband,White,Male,0,0,<=40,<=50K,<=50K
>47,Private,Bachelors,Married,Professional,Husband,White,Male,0,0,>45,>50K,>50K
>47,Private,Dropout,Married,Blue-Collar,Husband,White,Male,0,0,>45,<=50K,<=50K
(28-37],Private,Bachelors,Married,White-Collar,Husband,Asian-Pac-Islander,Male,0,0,>45,>50K,>50K
(28-37],Private,Bachelors,Married,Professional,Husband,White,Male,0,High,>45,>50K,>50K
(28-37],Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<=40,<=50K,<=50K
>47,Self-emp-not-inc,High School grad,Married,Sales,Husband,White,Male,0,0,<=40,<=50K,<=50K
(28-37],Private,High School grad,Married,Sales,Husband,White,Male,0,0,>45,>50K,<=50K
(28-37],Private,High School grad,Never-Married,Admin,Not-in-family,White,Male,Low,0,<=40,<=50K,<=50K
(37-47],Self-emp-not-inc,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,(40-45],>50K,>50K
>47,Private,Dropout,Married,Blue-Collar,Husband,White,Male,0,0,<=40,<=50K,<=50K
<=28,Private,High School grad,Never-Married,Admin,Not-in-family,White,Male,0,0,>45,<=50K,<=50K
<=28,Private,High School grad,Never-Married,Service,Other-relative,White,Male,0,0,<=40,<=50K,<=50K
>47,Private,High School grad,Separated,Blue-Collar,Unmarried,White,Male,0,0,<=40,<=50K,<=50K
>47,Local-gov,Associates,Married,Admin,Husband,Asian-Pac-Islander,Male,0,0,<=40,<=50K,<=50K
<=28,Private,High School grad,Separated,Admin,Not-in-family,White,Female,0,0,<=40,<=50K,<=50K
(37-47],Private,High School grad,Separated,Admin,Unmarried,White,Female,0,0,<=40,<=50K,<=50K
(28-37],Private,Associates,Married,Professional,Husband,White,Male,0,0,>45,<=50K,>50K
<=28,Private,High School grad,Never-Married,White-Collar,Not-in-family,White,Female,0,0,<=40,<=50K,<=50K
<=28,Private,High School grad,Never-Married,Service,Own-child,White,Female,0,0,<=40,<=50K,<=50K
(37-47],Private,Dropout,Married,Blue-Collar,Husband,White,Male,0,0,<=40,<=50K,<=50K
>47,Private,High School grad,Separated,White-Collar,Not-in-family,White,Female,0,0,<=40,<=50K,<=50K
(28-37],State-gov,High School grad,Married,Professional,Wife,Black,Female,0,0,<=40,<=50K,>50K
>47,Private,Bachelors,Married,Sales,Husband,White,Male,High,0,<=40,>50K,>50K
>47,Local-gov,Doctorate,Separated,Professional,Not-in-family,White,Female,Low,0,<=40,<=50K,<=50K
>47,Private,High School grad,Separated,Service,Not-in-family,White,Female,0,0,<=40,<=50K,<=50K
(28-37],Private,High School grad,Separated,Other,Not-in-family,Black,Male,0,0,(40-45],<=50K,<=50K
(37-47],Private,Bachelors,Married,White-Collar,Husband,White,Male,0,0,>45,>50K,>50K
(37-47],Self-emp-inc,High School grad,Married,White-Collar,Husband,White,Male,0,0,<=40,<=50K,<=50K
<=28,Federal-gov,Associates,Never-Married,Service,Own-child,White,Male,0,0,<=40,<=50K,<=50K
(37-47],Self-emp-not-inc,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<=40,<=50K,<=50K
(28-37],Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,>45,<=50K,<=50K
<=28,Private,Dropout,Never-Married,Blue-Collar,Own-child,Amer-Indian-Eskimo,Male,0,0,<=40,<=50K,<=50K
(28-37],Local-gov,Bachelors,Separated,Professional,Unmarried,White,Female,Low,0,<=40,<=50K,<=50K
>47,Local-gov,Masters,Never-Married,Professional,Not-in-family,White,Male,0,0,<=40,>50K,<=50K
<=28,Private,Masters,Never-Married,Admin,Not-in-family,White,Female,0,0,>45,<=50K,<=50K
>47,Private,High School grad,Married,Blue-Collar,Wife,White,Female,0,0,<=40,<=50K,<=50K
(28-37],Private,High School grad,Never-Married,Blue-Collar,Own-child,White,Male,Low,0,<=40,<=50K,<=50K
(28-37],Self-emp-inc,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,>45,>50K,>50K
<=28,Private,High School grad,Never-Married,Blue-Collar,Not-in-family,White,Male,0,0,<=40,<=50K,<=50K
<=28,Private,Dropout,Married,Blue-Collar,Husband,White,Male,0,0,<=40,<=50K,<=50K
(28-37],Private,High School grad,Married,Admin,Husband,White,Male,0,0,>45,<=50K,>50K
(28-37],Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<=40,<=50K,<=50K
(37-47],Private,High School grad,Widowed,Admin,Unmarried,White,Female,0,0,<=40,<=50K,<=50K
>47,Private,Dropout,Married,Service,Husband,White,Male,0,0,<=40,<=50K,<=50K
>47,Private,Dropout,Married,Blue-Collar,Husband,Black,Male,0,0,<=40,<=50K,<=50K
>47,State-gov,Doctorate,Married,Professional,Husband,White,Male,0,0,>45,>50K,>50K
<=28,Private,Dropout,Never-Married,Service,Own-child,White,Female,0,0,<=40,<=50K,<=50K
(28-37],Private,High School grad,Never-Married,Other,Own-child,Asian-Pac-Islander,Male,High,0,<=40,>50K,>50K
<=28,Private,High School grad,Never-Married,Blue-Collar,Own-child,White,Male,0,0,<=40,<=50K,<=50K
>47,Private,Bachelors,Married,Professional,Husband,White,Male,0,0,(40-45],>50K,>50K
>47,Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<=40,<=50K,<=50K
>47,Private,High School grad,Separated,Blue-Collar,Not-in-family,White,Female,0,0,<=40,<=50K,<=50K
<=28,Private,High School grad,Never-Married,Blue-Collar,Not-in-family,White,Male,0,0,<=40,<=50K,<=50K
(28-37],Private,High School grad,Separated,Sales,Unmarried,White,Male,Low,0,<=40,<=50K,<=50K
>47,Private,Associates,Separated,White-Collar,Not-in-family,White,Male,0,0,(40-45],>50K,<=50K
>47,Self-emp-inc,High School grad,Married,Sales,Husband,White,Male,0,0,>45,>50K,>50K
<=28,Private,High School grad,Married,Sales,Husband,White,Male,0,0,<=40,<=50K,<=50K
>47,Private,Bachelors,Separated,Other,Not-in-family,White,Male,0,0,<=40,<=50K,<=50K
>47,Private,Bachelors,Married,Other,Husband,White,Male,0,0,<=40,>50K,>50K
(37-47],Federal-gov,Bachelors,Never-Married,Admin,Not-in-family,White,Male,0,0,<=40,<=50K,<=50K
>47,Private,Masters,Separated,Professional,Not-in-family,White,Female,0,0,(40-45],<=50K,<=50K
>47,Private,Bachelors,Married,Other,Husband,White,Male,0,0,<=40,>50K,>50K
(28-37],Self-emp-not-inc,Associates,Never-Married,Service,Other-relative,White,Female,0,0,<=40,<=50K,<=50K
<=28,Private,Dropout,Never-Married,Blue-Collar,Own-child,White,Male,0,0,<=40,<=50K,<=50K
(28-37],Private,High School grad,Married,Sales,Husband,Asian-Pac-Islander,Male,0,0,<=40,<=50K,>50K
<=28,Local-gov,Bachelors,Never-Married,Professional,Not-in-family,White,Female,0,0,<=40,<=50K,<=50K
(28-37],State-gov,Bachelors,Never-Married,Professional,Not-in-family,White,Male,0,0,>45,<=50K,<=50K
(37-47],Private,High School grad,Married,Service,Husband,White,Male,0,0,<=40,<=50K,>50K
<=28,Private,High School grad,Never-Married,Sales,Own-child,White,Female,0,0,<=40,<=50K,<=50K
(37-47],Self-emp-inc,High School grad,Married,White-Collar,Husband,White,Male,0,High,>45,>50K,>50K
(37-47],Private,High School grad,Married,Service,Wife,White,Female,Low,0,<=40,<=50K,<=50K
>47,Self-emp-not-inc,Dropout,Separated,Sales,Other-relative,White,Male,0,0,<=40,<=50K,<=50K
(37-47],Private,High School grad,Separated,Blue-Collar,Not-in-family,Black,Female,0,0,<=40,<=50K,<=50K
<=28,Private,Bachelors,Never-Married,Professional,Own-child,White,Female,0,High,<=40,<=50K,<=50K
(37-47],Private,High School grad,Married,Admin,Husband,White,Male,0,0,>45,<=50K,>50K
(37-47],Private,Bachelors,Separated,Professional,Not-in-family,White,Female,High,0,<=40,>50K,>50K
<=28,Private,Dropout,Never-Married,Sales,Own-child,White,Female,0,Low,<=40,<=50K,<=50K
>47,Self-emp-not-inc,Dropout,Married,Blue-Collar,Husband,White,Male,0,0,<=40,>50K,<=50K
(37-47],Private,Masters,Married,White-Collar,Husband,White,Male,0,0,>45,>50K,>50K
>47,Local-gov,High School grad,Widowed,Service,Not-in-family,White,Female,0,0,<=40,<=50K,<=50K
<=28,Private,High School grad,Never-Married,Admin,Own-child,White,Male,0,0,<=40,<=50K,<=50K
(37-47],Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,>45,<=50K,>50K
(37-47],Private,High School grad,Married,White-Collar,Husband,White,Male,0,0,<=40,<=50K,>50K
>47,Private,Bachelors,Married,Blue-Collar,Husband,White,Male,0,0,>45,<=50K,<=50K
(37-47],Self-emp-inc,Associates,Married,Blue-Collar,Husband,White,Male,0,0,>45,>50K,<=50K
(37-47],Local-gov,High School grad,Married,Blue-Collar,Husband,Black,Male,0,0,<=40,>50K,<=50K
>47,Self-emp-inc,Prof-School,Married,Professional,Husband,White,Male,High,0,>45,>50K,>50K
>47,Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<=40,<=50K,<=50K
(37-47],Federal-gov,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<=40,>50K,>50K
(37-47],Self-emp-not-inc,High School grad,Separated,Blue-Collar,Not-in-family,White,Male,0,0,(40-45],<=50K,<=50K
(28-37],Private,High School grad,Separated,Blue-Collar,Not-in-family,Asian-Pac-Islander,Male,0,0,<=40,<=50K,<=50K
(37-47],Private,High School grad,Never-Married,Admin,Own-child,White,Male,0,0,<=40,<=50K,<=50K
(37-47],Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<=40,<=50K,<=50K
<=28,Private,High School grad,Never-Married,Blue-Collar,Own-child,White,Male,0,0,<=40,<=50K,<=50K
>47,Local-gov,Bachelors,Never-Married,Professional,Not-in-family,White,Male,0,0,>45,<=50K,<=50K
(37-47],Self-emp-inc,Bachelors,Married,Professional,Wife,White,Female,0,0,<=40,<=50K,>50K
(28-37],Private,High School grad,Separated,Blue-Collar,Not-in-family,White,Male,0,0,<=40,<=50K,<=50K
>47,Private,Doctorate,Married,Sales,Husband,White,Male,0,0,<=40,<=50K,<=50K
>47,Private,Dropout,Married,Admin,Husband,White,Male,Low,0,<=40,<=50K,<=50K
<=28,Private,Bachelors,Never-Married,Professional,Own-child,Black,Female,0,0,<=40,<=50K,<=50K
(28-37],Private,Associates,Married,Blue-Collar,Husband,White,Male,Low,0,<=40,>50K,>50K
<=28,Private,High School grad,Separated,Blue-Collar,Not-in-family,White,Male,0,0,<=40,<=50K,<=50K
<=28,Self-emp-not-inc,Associates,Never-Married,Service,Not-in-family,White,Female,0,0,<=40,<=50K,<=50K
>47,Private,Dropout,Widowed,Blue-Collar,Unmarried,White,Female,0,0,>45,<=50K,<=50K
(37-47],Self-emp-inc,Prof-School,Married,Professional,Husband,White,Male,0,High,>45,>50K,>50K
<=28,Private,Associates,Never-Married,Service,Own-child,White,Female,0,0,<=40,<=50K,<=50K
<=28,Private,High School grad,Never-Married,White-Collar,Other-relative,White,Female,0,0,(40-45],<=50K,<=50K
(28-37],Private,Associates,Separated,Professional,Unmarried,White,Female,0,0,<=40,<=50K,<=50K
(28-37],Private,High School grad,Married,White-Collar,Husband,White,Male,0,0,(40-45],>50K,<=50K
(37-47],Private,Dropout,Married,Blue-Collar,Husband,White,Male,0,0,<=40,<=50K,<=50K
(37-47],Private,Dropout,Married,Blue-Collar,Husband,White,Male,Low,0,<=40,>50K,>50K
>47,Private,Bachelors,Married,White-Collar,Husband,White,Male,0,0,<=40,>50K,>50K
<=28,Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<=40,<=50K,<=50K
<=28,Private,High School grad,Never-Married,Service,Not-in-family,White,Female,0,0,<=40,<=50K,<=50K
(28-37],Self-emp-not-inc,High School grad,Separated,White-Collar,Not-in-family,White,Male,0,0,>45,>50K,<=50K
<=28,Private,High School grad,Never-Married,Service,Not-in-family,White,Male,0,0,<=40,<=50K,<=50K
<=28,Private,Dropout,Never-Married,Admin,Not-in-family,White,Male,0,0,<=40,<=50K,<=50K
>47,Self-emp-inc,Bachelors,Married,White-Collar,Husband,White,Male,0,0,>45,<=50K,>50K
(37-47],State-gov,Masters,Married,Professional,Wife,Asian-Pac-Islander,Female,0,0,<=40,>50K,>50K
<=28,Private,Bachelors,Never-Married,White-Collar,Own-child,White,Female,0,0,<=40,<=50K,<=50K
(28-37],Self-emp-inc,High School grad,Married,White-Collar,Husband,White,Male,0,0,(40-45],<=50K,>50K
(28-37],Self-emp-not-inc,Dropout,Married,Professional,Husband,White,Male,0,0,>45,<=50K,<=50K
(37-47],Federal-gov,Masters,Married,Professional,Husband,White,Male,0,High,<=40,>50K,>50K
(37-47],Private,High School grad,Never-Married,Blue-Collar,Unmarried,Black,Female,0,0,<=40,<=50K,<=50K
<=28,Private,Dropout,Married,Blue-Collar,Husband,White,Male,0,0,>45,>50K,<=50K
(37-47],Private,Dropout,Married,White-Collar,Husband,White,Male,0,0,<=40,<=50K,>50K
(37-47],Self-emp-inc,Bachelors,Married,White-Collar,Husband,White,Male,0,0,>45,>50K,>50K
(28-37],Private,High School grad,Married,White-Collar,Husband,White,Male,0,0,>45,<=50K,<=50K
<=28,Self-emp-inc,Dropout,Never-Married,Service,Own-child,Black,Male,0,0,<=40,<=50K,<=50K
>47,Self-emp-not-inc,Prof-School,Married,Professional,Husband,White,Male,Low,0,>45,>50K,>50K
(37-47],Private,High School grad,Separated,Admin,Unmarried,White,Female,0,0,<=40,<=50K,<=50K
>47,Local-gov,Dropout,Married,Blue-Collar,Husband,White,Male,0,0,(40-45],<=50K,<=50K
>47,Self-emp-not-inc,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<=40,>50K,<=50K
>47,Federal-gov,Dropout,Separated,Blue-Collar,Unmarried,White,Male,0,0,<=40,<=50K,<=50K
<=28,Private,Bachelors,Never-Married,Professional,Own-child,Asian-Pac-Islander,Female,0,0,(40-45],<=50K,<=50K
(37-47],Private,High School grad,Widowed,Service,Unmarried,Black,Female,0,0,<=40,<=50K,<=50K
>47,Private,High School grad,Never-Married,Admin,Not-in-family,Black,Female,0,0,<=40,<=50K,<=50K
>47,Federal-gov,High School grad,Widowed,White-Collar,Not-in-family,White,Female,0,0,>45,<=50K,<=50K
(37-47],Private,Masters,Married,Professional,Husband,White,Male,0,Low,>45,>50K,>50K
>47,Local-gov,High School grad,Married,Service,Husband,White,Male,0,0,<=40,<=50K,<=50K
(28-37],Private,High School grad,Married,Admin,Husband,White,Male,0,0,>45,<=50K,<=50K
(37-47],Private,Bachelors,Married,Blue-Collar,Husband,White,Male,0,0,<=40,<=50K,<=50K
>47,Private,Dropout,Separated,Blue-Collar,Own-child,White,Male,0,0,<=40,<=50K,<=50K
(28-37],Private,High School grad,Married,Blue-Collar,Husband,Asian-Pac-Islander,Male,0,0,>45,>50K,<=50K
>47,Self-emp-inc,Bachelors,Married,Blue-Collar,Husband,White,Male,0,0,>45,<=50K,<=50K
(28-37],Private,High School grad,Separated,Admin,Own-child,White,Female,0,0,<=40,<=50K,<=50K
(28-37],Private,Prof-School,Never-Married,White-Collar,Not-in-family,White,Male,High,0,>45,>50K,>50K
<=28,Private,High School grad,Married,White-Collar,Wife,White,Female,0,0,<=40,<=50K,<=50K
<=28,Private,Dropout,Never-Married,Sales,Not-in-family,White,Female,0,Low,<=40,<=50K,<=50K
<=28,Private,Masters,Never-Married,Admin,Own-child,White,Male,0,0,<=40,<=50K,<=50K
<=28,Private,High School grad,Married,Admin,Wife,White,Female,0,0,<=40,<=50K,<=50K
(37-47],Private,Associates,Separated,Admin,Unmarried,White,Female,0,0,<=40,<=50K,<=50K
(37-47],Private,Associates,Married,Blue-Collar,Husband,White,Male,0,0,>45,<=50K,<=50K
(37-47],Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<=40,<=50K,<=50K
(28-37],Private,Dropout,Never-Married,Blue-Collar,Unmarried,Black,Male,0,0,<=40,<=50K,<=50K
(28-37],Private,High School grad,Separated,Blue-Collar,Unmarried,White,Male,0,0,>45,<=50K,<=50K
(28-37],Private,High School grad,Married,Admin,Husband,White,Male,0,0,<=40,<=50K,<=50K
<=28,Private,Associates,Never-Married,Service,Not-in-family,White,Male,0,0,<=40,<=50K,<=50K
(28-37],Private,Bachelors,Married,Sales,Husband,White,Male,0,High,(40-45],>50K,>50K
>47,Private,Dropout,Married,Blue-Collar,Husband,White,Male,0,0,<=40,<=50K,<=50K
<=28,Private,High School grad,Never-Married,Admin,Own-child,White,Female,0,0,<=40,<=50K,<=50K
(37-47],Private,High School grad,Separated,Sales,Unmarried,White,Female,0,0,>45,<=50K,<=50K
<=28,Private,Bachelors,Never-Married,Other,Not-in-family,Asian-Pac-Islander,Female,0,0,<=40,<=50K,<=50K
<=28,Private,Dropout,Never-Married,Blue-Collar,Not-in-family,White,Male,0,0,<=40,<=50K,<=50K
(37-47],Private,Masters,Married,Professional,Husband,White,Male,0,0,<=40,>50K,>50K
(28-37],Private,High School grad,Widowed,Sales,Not-in-family,White,Female,0,0,<=40,<=50K,<=50K
(28-37],Federal-gov,High School grad,Separated,Blue-Collar,Not-in-family,White,Male,0,0,<=40,<=50K,<=50K
<=28,Private,Associates,Never-Married,Blue-Collar,Own-child,White,Male,0,0,<=40,<=50K,<=50K
<=28,Private,High School grad,Never-Married,Blue-Collar,Not-in-family,White,Male,0,0,<=40,<=50K,<=50K
(37-47],Private,Bachelors,Married,Service,Husband,White,Male,Low,0,>45,<=50K,<=50K
>47,Private,Bachelors,Married,White-Collar,Husband,Black,Male,0,0,<=40,>50K,>50K
>47,Private,Dropout,Married,Service,Other-relative,Black,Female,0,0,<=40,<=50K,<=50K
(37-47],Self-emp-not-inc,Bachelors,Separated,Professional,Not-in-family,White,Male,0,0,>45,>50K,<=50K
>47,Private,Bachelors,Separated,White-Collar,Not-in-family,White,Female,0,0,>45,<=50K,>50K
(28-37],Private,High School grad,Separated,Sales,Not-in-family,White,Female,0,0,<=40,<=50K,<=50K
>47,Private,High School grad,Married,Other,Husband,White,Male,0,0,<=40,<=50K,<=50K
<=28,Private,High School grad,Never-Married,Professional,Not-in-family,Black,Male,0,0,<=40,<=50K,<=50K
>47,Self-emp-not-inc,High School grad,Never-Married,Service,Not-in-family,White,Female,0,0,<=40,<=50K,<=50K
(37-47],Private,High School grad,Separated,Admin,Not-in-family,White,Female,0,0,<=40,<=50K,<=50K
(37-47],Private,High School grad,Married,Blue-Collar,Husband,White,Male,Low,0,<=40,<=50K,<=50K
(37-47],Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<=40,>50K,<=50K
<=28,Private,High School grad,Never-Married,Admin,Own-child,Black,Male,0,0,<=40,<=50K,<=50K
(37-47],Federal-gov,High School grad,Separated,Blue-Collar,Not-in-family,Asian-Pac-Islander,Male,0,0,<=40,<=50K,<=50K
(37-47],Private,High School grad,Separated,Sales,Unmarried,Black,Female,0,0,<=40,<=50K,<=50K
(28-37],Private,Bachelors,Married,Professional,Husband,White,Male,0,0,<=40,>50K,>50K
>47,Self-emp-inc,Bachelors,Separated,Sales,Not-in-family,White,Male,0,0,(40-45],<=50K,<=50K
(37-47],Private,High School grad,Married,Professional,Husband,White,Male,Low,0,<=40,>50K,>50K
(37-47],Local-gov,Masters,Separated,White-Collar,Unmarried,White,Female,0,0,>45,>50K,<=50K
(37-47],Local-gov,Bachelors,Never-Married,Professional,Not-in-family,White,Female,0,0,>45,<=50K,<=50K
<=28,Private,High School grad,Never-Married,Admin,Other-relative,White,Female,0,0,<=40,<=50K,<=50K
<=28,Private,High School grad,Married,Sales,Husband,White,Male,0,0,(40-45],<=50K,<=50K
(28-37],Federal-gov,Bachelors,Never-Married,Other,Not-in-family,White,Female,0,0,>45,>50K,<=50K
(37-47],Private,Bachelors,Separated,Admin,Not-in-family,White,Female,0,0,<=40,<=50K,<=50K
<=28,Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,(40-45],>50K,<=50K
<=28,Private,High School grad,Never-Married,Service,Unmarried,White,Female,0,0,<=40,<=50K,<=50K
(28-37],Private,Dropout,Married,Blue-Collar,Husband,White,Male,0,0,<=40,<=50K,<=50K
>47,Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<=40,>50K,<=50K
<=28,Private,Bachelors,Never-Married,Blue-Collar,Not-in-family,White,Male,0,0,>45,<=50K,<=50K
(28-37],Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<=40,<=50K,<=50K
(37-47],Private,High School grad,Married,Sales,Husband,White,Male,0,0,>45,<=50K,<=50K
>47,Private,Masters,Married,Professional,Wife,White,Female,0,0,<=40,>50K,>50K
(28-37],Self-emp-inc,High School grad,Married,Sales,Husband,White,Male,0,0,>45,<=50K,<=50K
<=28,Private,High School grad,Never-Married,Blue-Collar,Not-in-family,White,Male,0,0,<=40,<=50K,<=50K
<=28,Private,High School grad,Never-Married,Sales,Own-child,Black,Female,0,0,<=40,<=50K,<=50K
(37-47],Private,Prof-School,Married,Professional,Husband,White,Male,Low,0,<=40,>50K,>50K
(37-47],Private,Bachelors,Married,White-Collar,Husband,White,Male,High,0,(40-45],>50K,>50K
<=28,Private,High School grad,Never-Married,Sales,Not-in-family,White,Male,0,0,<=40,<=50K,<=50K
>47,Self-emp-inc,High School grad,Married,Sales,Husband,White,Male,0,0,>45,>50K,<=50K
<=28,Private,High School grad,Never-Married,Service,Own-child,White,Male,0,0,<=40,<=50K,<=50K
<=28,Private,High School grad,Never-Married,Service,Own-child,White,Male,0,0,<=40,<=50K,<=50K
(28-37],Private,High School grad,Never-Married,Blue-Collar,Own-child,Asian-Pac-Islander,Male,0,0,<=40,<=50K,<=50K
<=28,Federal-gov,High School grad,Never-Married,Blue-Collar,Own-child,White,Male,0,0,<=40,<=50K,<=50K
(28-37],Self-emp-not-inc,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,>45,<=50K,<=50K
<=28,Private,Associates,Never-Married,Admin,Own-child,White,Female,0,0,<=40,<=50K,<=50K
>47,Local-gov,High School grad,Never-Married,Admin,Not-in-family,White,Female,0,0,<=40,<=50K,<=50K
(37-47],Self-emp-inc,Masters,Never-Married,Professional,Not-in-family,White,Female,0,0,<=40,<=50K,<=50K
<=28,Private,Bachelors,Never-Married,Professional,Not-in-family,White,Female,0,0,<=40,<=50K,<=50K
>47,Self-emp-inc,High School grad,Married,Admin,Husband,White,Male,0,0,<=40,<=50K,<=50K
<=28,Self-emp-not-inc,High School grad,Never-Married,Blue-Collar,Other-relative,Black,Male,0,0,<=40,<=50K,<=50K
>47,Private,Bachelors,Separated,Sales,Not-in-family,White,Female,0,0,>45,<=50K,>50K
>47,Self-emp-not-inc,Bachelors,Married,Blue-Collar,Husband,White,Male,0,0,>45,>50K,<=50K
(37-47],Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<=40,<=50K,<=50K
>47,Local-gov,Bachelors,Never-Married,Professional,Not-in-family,White,Female,0,0,<=40,<=50K,<=50K
<=28,Federal-gov,Associates,Married,White-Collar,Wife,White,Female,0,0,<=40,<=50K,<=50K
